Region;N;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20
Пензенская область;55;64.6;67.0;71.9;45.8;30.4;1.0;55.7;21.5;10.0;44.9;21.5;16.9;58.8;59.9;7.1;91.1;43.1;8.7;16;83.1
Самарская область;56;75.1;81.1;81.8;43.8;33.1;1.6;55.2;25.9;15.7;43.8;24.9;23.2;52.6;62.3;9.2;68.9;26.8;31;28;72.3
Саратовская область;57;77.1;71.9;73.3;42.3;31.5;1.4;56.6;23.3;13.1;43.4;22.7;20.4;58.4;74.6;5.4;76.4;37.9;19.5;29;85.4
Ульяновская область;58;58.6;67.9;70.5;45.7;32.7;2.0;58.7;23.9;14.9;43.4;21.0;17.9;59.6;45.5;1.4;87.9;35.7;21.3;16;78.4
Курганская область;59;70.1;64.3;66.9;40.7;29.9;1.4;47.5;19.9;9.1;39.4;30.6;14.3;47.4;63.5;7.1;78.9;24.8;4.8;21;68.9
Свердловская область;60;73.8;68.2;74;44.9;32.6;1.6;68.2;30.8;17.1;53;29.7;26.4;70.3;40.3;8.6;95.2;66.4;10.2;30;81.3
Ханты-Мансийский АО;61;65.8;86.1;91.7;35.2;28.8;0.7;67.9;27.8;19.3;51.4;25.7;24.2;77.3;69.7;16.3;97.3;74.2;49.1;30;87.1
Ямало-Ненецкий АО;62;78.2;96.5;98.1;34.7;27.8;1.3;59.4;22.7;17.5;48.9;19.9;19.2;64.4;93.6;22.5;88.8;67.3;78;31;83.0
Тюменская область без АО;63;36.3;74.9;76.5;47.4;38.9;1.2;62.4;30.3;20.0;50;28.0;25.7;64.4;60.1;17.1;85.5;59.1;43.5;23;90.9
Челябинская область;64;76.4;71.2;75.3;42.1;27.4;1.6;66.5;31.9;16.0;52.6;27.1;27.6;69.3;33.6;9.1;86.7;43.2;30.8;25;78.6
Республика Алтай;65;73.2;67.8;84.4;41.6;41.0;1.1;63.0;19.4;8.3;48.4;16.3;16.7;62.8;56.7;4.9;92.9;39.3;7.5;16;76.5
Республика Бурятия;66;64.1;66.3;78.6;49.8;33.8;1.0;44.2;15.8;8.1;38.3;14.4;14.4;44.7;59.6;6.2;75.1;37.6;14.8;30;73.1
Республика Тыва;67;93.3;57.5;87.4;45.0;36.5;1.2;36.5;11.6;5.4;38.3;7.4;13.1;42.1;70.2;8.3;65.1;21.7;15;19;76.5
Республика Хакасия;68;74.6;65.6;66.9;42.9;34.4;1.0;56.9;22.3;9.9;44.7;18.6;19.0;65.7;53.2;12.3;71.1;37.2;16;30;83.3
Алтайский Край;69;47.1;69.9;73.4;40.6;30.9;1.2;59.9;26.0;11.0;44.4;20.6;19.2;54.7;45.7;7.1;94.9;51.5;9.7;23;86.1
Забайкалький Край;70;71.1;77.5;65.1;41.6;28.9;0.6;51.3;19.2;7.9;40.2;14.2;16.7;50.1;27;4.1;91.0;41.2;9.5;18;72.3
Красноярский Край ;71;78.0;70.5;72;45.0;33.9;1.3;56.6;21.4;11.7;46.8;20.5;19.1;54.0;52;9.9;93.1;55.5;20.6;25;67.6
Иркутская область;72;81.4;66.4;73.5;44.6;34.6;1.1;59.2;22.4;12.5;44.7;18.8;17.6;62.8;31.2;10.3;75.8;28.5;19.4;25;80.5
Кемеровская область;73;78.6;65.3;70.5;35.3;26.1;1.0;68.5;26.4;14.3;48.1;21.5;22.2;71.9;38.9;12.8;88.9;58.7;13.5;25;66.8
Новосибирская область;74;50.3;70.0;76.3;51.2;40.4;2.9;60.8;27.6;13.3;49.1;24.3;23.3;67.2;59.1;9.1;86.4;43.2;31.1;33;74.5
Омская область;75;56.5;60.6;74.5;48.6;36.8;1.6;58.2;23.3;11.4;43.1;20.9;20.2;58.8;40.5;8.6;87.7;34.6;35;27;83.6
Томская область;76;46.6;62.6;65.1;51.9;40.7;1.3;61.7;26.4;13.6;49.4;23.5;20.8;71.5;67.9;25.9;84.4;48.9;6.6;24;82.2
Республика Саха (Якутия);77;79.2;60.7;78.8;35.6;28.9;0.9;44.3;15.4;6.3;41.3;13.8;17.0;49.5;43.8;11;80.8;33.7;14;27;75.3
Камчатский край;78;85.5;77.5;82.2;44.7;34.4;0.7;51.8;14.5;7.0;50.1;18.6;15.3;49.9;45;9;94.3;61.0;10.1;22;55.8
Приморский край;79;62.5;74.6;80.4;45.1;31.1;1.8;64.2;23.1;9.9;46.6;20.1;20.0;64.7;46.3;4.2;88.8;47.0;18.4;23;78.7
Хабаровский край;80;62.2;72.3;81.3;48.4;33.4;1.4;61.6;22.6;11.6;54.6;23.0;22.4;63.9;25.5;8.7;90.2;52.3;13.9;27;80.5
Амурская область;81;78.2;65.4;76.3;38.4;27.9;0.8;48.3;18.7;8.0;38;14.5;15.3;54.4;34.3;11.2;90.1;48.0;5.2;23;68.9
Магаданская область;82;74.9;77.7;87.7;43.5;33.8;1.6;48.3;17.6;9.4;43.9;15.2;12.8;46.3;20;5.8;92.5;61.2;22.7;21;57.4
Сахалинская область;83;54.2;71.1;74.6;45.8;36.8;1.1;59.6;21.5;10.2;50.7;19.3;18.7;61.1;40.8;13.9;95.9;67.6;26.8;30;86.8
Еврейская автономная область;84;54.7;55.3;67.4;39.9;24.9;1.2;52.2;17.7;9.9;42.2;14.6;14.4;59.5;15.2;4.2;86.5;28.8;1.7;15;67.6
Чукотский АО;85;66.4;83.5;90.6;45.0;35.3;4.5;23.3;12.9;6.8;45.5;16.7;11.5;23.6;21.2;2.4;100.0;88.0;39.6;23;72.7
Регион 86;86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Регион 87;87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Регион 88;88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Регион 89;89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Регион 90;90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Регион 91;91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Регион 92;92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Регион 93;93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Регион 94;94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Регион 95;95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Регион 96;96;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Регион 97;97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Регион 98;98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Регион 99;99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Регион 100;100;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
